sub,init,list,word,ons_poa,coda_vc,coda_poa,vowel,vot,vdur
4,SP,1,pot,1,0,2,aw,0.086,0.14
4,SP,1,cop,3,0,1,aw,0.082,0.137
4,SP,1,pit,1,0,2,ih,0.077,0.078
4,SP,1,pod,1,1,2,aw,0.125,0.217
4,SP,1,kid,3,1,2,ih,0.084,0.119
4,SP,1,tog,2,1,3,aw,0.104,0.212
4,SP,1,tag,2,1,3,ae,0.126,0.224
4,SP,1,tack,2,0,3,ae,0.053,0.144
4,SP,1,cab,3,1,1,ae,0.074,0.235
4,SP,1,pock,1,0,3,aw,0.073,0.088
4,SP,1,tad,2,1,2,ae,0.114,0.222
4,SP,1,pub,1,1,1,uh,0.083,0.146
4,SP,1,kit,3,0,2,ih,0.063,0.097
4,SP,1,ped,1,1,2,eh,0.085,0.133
4,SP,1,cap,3,0,1,ae,0.075,0.136
4,SP,1,kip,3,0,1,ih,0.05,0.077
4,SP,1,peck,1,0,3,eh,0.041,0.094
4,SP,1,pet,1,0,2,eh,0.048,0.085
4,SP,1,tab,2,1,1,ae,0.073,0.198
4,SP,1,pog,1,1,3,aw,0.1,0.156
4,SP,1,tap,2,0,1,ae,0.064,0.132
4,SP,1,cad,3,1,2,ae,0.092,0.205
4,SP,1,cob,3,1,1,aw,0.092,0.192
4,SP,2,pack,1,0,3,ae,0.058,0.131
4,SP,2,pup,1,0,1,uh,0.03,0.099
4,SP,2,cat,3,0,2,ae,0.05,0.146
4,SP,2,tup,2,0,1,uh,0.049,0.101
4,SP,2,cog,3,1,3,aw,0.116,0.177
4,SP,2,puck,1,0,3,uh,0.034,0.081
4,SP,2,pig,1,1,3,ih,0.052,0.143
4,SP,2,kick,3,0,3,ih,0.06,0.078
4,SP,2,tug,2,1,3,uh,0.086,0.128
4,SP,2,cub,3,1,1,uh,0.109,0.132
4,SP,2,tub,2,1,1,uh,0.087,0.153
4,SP,2,keg,3,1,3,eh,0.077,0.138
4,SP,2,tib,2,1,1,ih,0.063,0.134
4,SP,2,pat,1,0,2,ae,0.064,0.146
4,SP,2,top,2,0,1,aw,0.067,0.138
4,SP,2,cud,3,1,2,uh,0.089,0.153
4,SP,2,pap,1,0,1,ae,0.059,0.148
4,SP,2,tip,2,0,1,ih,0.042,0.09
4,SP,2,cod,3,1,2,aw,0.135,0.22
4,SP,2,pick,1,0,3,ih,0.024,0.109
4,SP,2,tot,2,0,2,aw,0.056,0.159
4,SP,2,pep,1,0,1,eh,0.048,0.093
4,SP,2,tat,2,0,2,ae,0.071,0.138
4,SP,2,cack,3,0,3,ae,0.092,0.164
4,SP,2,peg,1,1,3,eh,0.103,0.123
4,SP,2,tuck,2,0,3,uh,0.042,0.085
4,SP,2,pop,1,0,1,aw,0.093,0.121
4,SP,2,cup,3,0,1,uh,0.079,0.082
4,SP,2,tech,2,0,3,eh,0.084,0.116
4,SP,2,pad,1,1,2,ae,0.114,0.212
4,SP,2,putt,1,0,2,uh,,
4,SP,2,cut,3,0,2,uh,0.081,0.096
4,SP,2,todd,2,1,2,aw,0.129,0.212
4,SP,2,cot,3,0,2,aw,0.113,0.123
4,SP,2,talk,2,0,3,aw,0.14,0.144
4,SP,2,ted,2,1,2,eh,0.141,0.151
4,SP,2,tut,2,0,2,uh,0.059,0.1
4,SP,2,pug,1,1,3,uh,0.119,0.143
4,SP,2,pot,1,0,2,aw,0.1,0.092
4,SP,2,cop,3,0,1,aw,0.099,0.123
4,SP,2,pit,1,0,2,ih,0.047,0.09
4,SP,2,pod,1,1,2,aw,0.143,0.222
4,SP,2,kid,3,1,2,ih,0.114,0.123
4,SP,2,tog,2,1,3,aw,0.162,0.191
4,SP,2,tag,2,1,3,ae,0.153,0.246
4,SP,2,tack,2,0,3,ae,0.074,0.105
4,SP,2,cab,3,1,1,ae,0.123,0.252
4,SP,2,pock,1,0,3,aw,0.106,0.139
4,SP,2,tad,2,1,2,ae,0.107,0.21
4,SP,2,pub,1,1,1,uh,0.107,0.125
4,SP,2,kit,3,0,2,ih,0.099,0.078
4,SP,2,ped,1,1,2,eh,0.125,0.128
4,SP,2,cap,3,0,1,ae,0.09,0.138
4,SP,2,kip,3,0,1,ih,0.078,0.07
4,SP,2,peck,1,0,3,eh,,
4,SP,2,pet,1,0,2,eh,0.045,0.088
4,SP,2,tab,2,1,1,ae,0.109,0.208
4,SP,2,pog,1,1,3,aw,0.106,0.175
4,SP,2,tap,2,0,1,ae,0.117,0.144
4,SP,2,cad,3,1,2,ae,0.116,0.196
4,SP,2,cob,3,1,1,aw,0.15,0.203
5,JE,1,pack,1,0,3,ae,0.081,0.134
5,JE,1,pup,1,0,1,uh,0.075,0.073
5,JE,1,cat,3,0,2,ae,0.09,0.151
5,JE,1,tup,2,0,1,uh,0.085,0.066
5,JE,1,cog,3,1,3,aw,0.103,0.153
5,JE,1,puck,1,0,3,uh,0.084,0.081
5,JE,1,pig,1,1,3,ih,0.083,0.102
5,JE,1,kick,3,0,3,ih,0.082,0.077
5,JE,1,tug,2,1,3,uh,0.099,0.112
5,JE,1,cub,3,1,1,uh,0.101,0.116
5,JE,1,tub,2,1,1,uh,0.093,0.11
5,JE,1,keg,3,1,3,eh,0.104,0.145
5,JE,1,tib,2,1,1,ih,0.101,0.124
5,JE,1,pat,1,0,2,ae,0.116,0.132
5,JE,1,top,2,0,1,aw,0.098,0.139
5,JE,1,cud,3,1,2,uh,0.089,0.124
5,JE,1,pap,1,0,1,ae,0.085,0.143
5,JE,1,tip,2,0,1,ih,0.081,0.072
5,JE,1,cod,3,1,2,aw,0.092,0.191
5,JE,1,pick,1,0,3,ih,0.08,0.065
5,JE,1,tot,2,0,2,aw,0.089,0.139
5,JE,1,pep,1,0,1,eh,0.085,0.088
5,JE,1,tat,2,0,2,ae,0.095,0.135
