"","Participant.Private.ID","Display","Response","Correct","Spreadsheet..sent","Spreadsheet..sent_1","Spreadsheet..word_1","Spreadsheet..card_1","Spreadsheet..card_2","Spreadsheet..corr_1","Spreadsheet..cons","Spreadsheet..vowel","Spreadsheet..target"
"162",14171928,"Trials_blk1","audio finished",0,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",1
"163",14171928,"Trials_blk1","pap",0,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",1
"164",14171928,"Trials_blk1","",0,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",1
"165",14171928,"Trials_blk1","audio started",1,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",1
"166",14171928,"Trials_blk1","audio finished",1,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",1
"167",14171928,"Trials_blk1","",1,"Kip has a toad named ___","pa_125_sent.mp3","pa_125_word.mp3","pab","pap","pab","p","a",1
"168",14171928,"Break","",1,"","","","","","","","",NA
"169",14171928,"Trials_blk2","audio started",0,"Ted has a pup named ___","ka_150_sent.mp3","ka_150_word.mp3","kag","kack","kag","k","a",1
"170",14171928,"Trials_blk2","audio finished",0,"Ted has a pup named ___","ka_150_sent.mp3","ka_150_word.mp3","kag","kack","kag","k","a",1
"171",14171928,"Trials_blk2","kack",0,"Ted has a pup named ___","ka_150_sent.mp3","ka_150_word.mp3","kag","kack","kag","k","a",1
"172",14171928,"Trials_blk2","",0,"Ted has a pup named ___","ka_150_sent.mp3","ka_150_word.mp3","kag","kack","kag","k","a",1
"173",14171928,"Trials_blk2","audio started",1,"Ted has a pup named ___","ka_150_sent.mp3","ka_150_word.mp3","kag","kack","kag","k","a",1
"174",14171928,"Trials_blk2","audio finished",1,"Ted has a pup named ___","ka_150_sent.mp3","ka_150_word.mp3","kag","kack","kag","k","a",1
"175",14171928,"Trials_blk2","",1,"Ted has a pup named ___","ka_150_sent.mp3","ka_150_word.mp3","kag","kack","kag","k","a",1
"176",14171928,"Trials_blk2","audio started",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
"177",14171928,"Trials_blk2","audio finished",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
"178",14171928,"Trials_blk2","audio started",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
"179",14171928,"Trials_blk2","audio finished",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
"180",14171928,"Trials_blk2","keb",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
"181",14171928,"Trials_blk2","",0,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
"182",14171928,"Trials_blk2","audio started",1,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
"183",14171928,"Trials_blk2","audio finished",1,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
"184",14171928,"Trials_blk2","",1,"Pat had a toad that said ___","ke_50_sent.mp3","ke_50_word.mp3","keb","kep","kep","k","e",1
"185",14171928,"Trials_blk2","audio started",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
"186",14171928,"Trials_blk2","audio finished",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
"187",14171928,"Trials_blk2","pip",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
"188",14171928,"Trials_blk2","",0,"Kat has a tag that read ___","pi_125_sent.mp3","pi_125_word.mp3","pip","pib","pib","p","i",1
